year,?13Cair,Cair_polinomial,Ca_insitu,Cair
1930,-6.822618012,303.3975844,,303.3975844
1931,-6.83097877,303.449093,,303.449093
1932,-6.839506236,303.5268827,,303.5268827
1933,-6.848203731,303.6309535,,303.6309535
1934,-6.857074648,303.7613055,,303.7613055
1935,-6.866122444,303.9179386,,303.9179386
1936,-6.875350645,304.1008528,,304.1008528
1937,-6.884762849,304.3100482,,304.3100482
1938,-6.894362725,304.5455247,,304.5455247
1939,-6.904154014,304.8072823,,304.8072823
1940,-6.914140534,305.0953211,,305.0953211
1941,-6.924326176,305.409641,,305.409641
1942,-6.934714912,305.750242,,305.750242
1943,-6.945310791,306.1171242,,306.1171242
1944,-6.956117943,306.5102875,,306.5102875
1945,-6.967140581,306.929732,,306.929732
1946,-6.978383001,307.3754576,,307.3754576
1947,-6.989849586,307.8474643,,307.8474643
1948,-7.001544806,308.3457521,,308.3457521
1949,-7.013473218,308.8703211,,308.8703211
1950,-7.025639473,309.4211712,,309.4211712
1951,-7.038048313,309.9983025,,309.9983025
1952,-7.050704576,310.6017149,,310.6017149
1953,-7.063613194,311.2314084,,311.2314084
1954,-7.076779199,311.8873831,,311.8873831
1955,-7.090207724,312.5696389,,312.5696389
1956,-7.103904002,313.2781758,,313.2781758
1957,-7.117873373,314.0129939,,314.0129939
1958,-7.132121282,314.7740931,,314.7740931
1959,-7.146653282,315.5614734,315.98,315.98
1960,-7.161475039,316.3751349,316.91,316.91
1961,-7.176592329,317.2150775,317.64,317.64
1962,-7.192011046,318.0813012,318.45,318.45
1963,-7.207737199,318.9738061,318.99,318.99
1964,-7.223776919,319.8925921,319.62,319.62
1965,-7.240136458,320.8376593,320.04,320.04
1966,-7.256822193,321.8090076,321.37,321.37
1967,-7.273840628,322.806637,322.18,322.18
1968,-7.291198396,323.8305475,323.05,323.05
1969,-7.308902264,324.8807392,324.62,324.62
1970,-7.326959133,325.957212,325.68,325.68
1971,-7.345376041,327.059966,326.32,326.32
1972,-7.364160166,328.1890011,327.46,327.46
1973,-7.383318832,329.3443173,329.68,329.68
1974,-7.402859507,330.5259147,330.19,330.19
1975,-7.422789806,331.7337932,331.13,331.13
1976,-7.443117499,332.9679528,332.03,332.03
1977,-7.463850509,334.2283936,333.84,333.84
1978,-7.484996919,335.5151155,335.41,335.41
1979,-7.506564971,336.8281185,336.84,336.84
1980,-7.528563073,338.1674027,338.76,338.76
1981,-7.550999798,339.532968,340.12,340.12
1982,-7.573883894,340.9248144,341.48,341.48
1983,-7.597224279,342.342942,343.15,343.15
1984,-7.621030053,343.7873507,344.87,344.87
1985,-7.645310494,345.2580406,346.35,346.35
1986,-7.670075068,346.7550116,347.61,347.61
1987,-7.695333427,348.2782637,349.31,349.31
1988,-7.721095417,349.8277969,351.69,351.69
1989,-7.74737108,351.4036113,353.2,353.2
1990,-7.774170658,353.0057068,354.45,354.45
1991,-7.801504598,354.6340835,355.7,355.7
1992,-7.829383554,356.2887413,356.54,356.54
1993,-7.857818394,357.9696802,357.21,357.21
1994,-7.886820201,359.6769003,358.96,358.96
1995,-7.91640028,361.4104015,360.97,360.97
1996,-7.946570163,363.1701838,362.74,362.74
1997,-7.977341607,364.9562473,363.88,363.88
1998,-8.00872661,366.7685919,366.84,366.84
1999,-8.040737403,368.6072176,368.54,368.54
2000,-8.073386466,370.4721245,369.71,369.71
2001,-8.106686524,372.3633125,371.32,371.32
2002,-8.140650558,374.2807816,373.45,373.45
2003,-8.175291808,376.2245319,375.98,375.98
2004,-8.210623775,378.1945633,377.7,377.7
2005,-8.246660233,380.1908759,379.98,379.98
2006,-8.283415229,382.2134696,382.09,382.09
2007,-8.320903088,384.2623444,384.02,384.02
2008,-8.359138426,386.3375003,385.83,385.83
2009,-8.398136144,388.4389374,387.64,387.64
2010,-8.437911445,390.5666556,390.1,390.1
2011,-8.478479834,392.720655,391.85,391.85
2012,-8.519857122,394.9009355,394.06,394.06
2013,-8.56205944,397.1074971,396.74,396.74
2014,-8.605103238,399.3403399,398.81,398.81
2015,-8.649005294,401.5994638,401.01,401.01
2016,-8.69378272,403.8848688,404.41,404.41
2017,-8.739452972,406.196555,406.76,406.76
2018,-8.786033852,408.5345223,408.72,408.72
2019,-8.833543516,410.8987707,411.65,411.65
2020,-8.882000484,413.2893003,414.21,414.21
2021,-8.931423644,415.706111,416.41,416.41
2022,-8.981832262,418.1492028,418.53,418.53
2023,-9.033245986,420.6185758,421.08,421.08
2024,-9.085684858,423.1142299,,423.1142299
